Marks for each group member with logged Trello activities,Group 99
"If your Tello ID does not appear in this list, this means that"
"no logged activities on your individual or group Trello board could be found,"
which equates to 0 marks for that group member
Calculation:
0.83 marks for weeks where there was 1 activity
1.67 marks for weeks with 2 or more activities
"10 marks maximum, corresponding to 6 'active' weeks with 2 activities or more in each of these weeks"

Activities that were counted for this assignment:
"createCard, updateCard, commentCard, copyCard, deleteCard, createBoard, updateList"
Note that activities in weeks after week 33 were not counted as the deadline for this assignment
was just folowing week 33

Trello ID,mark,"logged Trello activities (#activites in weeks [22,23,24,25,26,27,28,29,30,31,32,33]"
musunuruvenkataramana,1.67,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13]"
himavamsikoneru,1.67,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12]"
kollikirankumar,3.34,"[0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 8]"
yedukondalureddyavuduri,3.34,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 2]"
